date,startup,industry,sub_industry,city,investment_type,amount_usd,amount_usd_clean,investment_type_grouped
09/01/2020,BYJU’S,e-tech,E-learning,bangalore,private equity round,"20,00,00,000",200000000.0,private_equity
13/01/2020,Shuttl,transportation,App based shuttle service,gurgaon,series c,"80,48,394",8048394.0,series_c
09/01/2020,Mamaearth,e-commerce,Retailer of baby and toddler products,bangalore,series b,"1,83,58,860",18358860.0,series_b
02/01/2020,https://www.wealthbucket.in/,fintech,Online Investment,new delhi,pre-series a,"30,00,000",3000000.0,series_a
02/01/2020,Fashor,fashion and apparel,Embroiled Clothes For Women,mumbai,seed round,"18,00,000",1800000.0,seed
13/01/2020,Pando,logistics,"Open-market, freight management platform",chennai,series a,"90,00,000",9000000.0,series_a
10/01/2020,Zomato,hospitality,Online Food Delivery Platform,gurgaon,private equity round,"15,00,00,000",150000000.0,private_equity
12/12/2019,Ecozen,technology,Agritech,pune,series a,"60,00,000",6000000.0,series_a
06/12/2019,CarDekho,e-commerce,Automobile,gurgaon,series d,"7,00,00,000",70000000.0,other
03/12/2019,Dhruva Space,aerospace,Satellite Communication,bangalore,seed,"5,00,00,000",50000000.0,seed
13/12/2019,Rivigo,technology,Logistics Services and Solutions,gurgaon,series f,"2,00,00,000",20000000.0,other
17/12/2019,Healthians,b2b-focused foodtech startup,Food Solutions For Corporate,bangalore,series c,"1,20,00,000",12000000.0,series_c
16/12/2019,Licious,e-commerce,Online Meat And Seafood Ordering Startup,bangalore,series e,"3,00,00,000",30000000.0,other
16/12/2019,InCred,finance,Non-Banking Financial Company,mumbai,debt funding,"59,00,000",5900000.0,debt
14/12/2019,Trell,video,Experience Discovery Platform,bangalore,seed round,"20,00,000",2000000.0,seed
11/12/2019,Rein Games,gaming,Real money based gaming startup,noida,seed round,"5,00,00,000",50000000.0,seed
20/12/2019,Lenskart.com,e-commerce,Online Eyewear Shopping Portal,faridabad,series g,"23,10,00,000",231000000.0,other
13/11/2019,Freshworks,software,Business and customer engagement tools,san francisco,series h,"15,00,00,000",150000000.0,other
14/11/2019,Misters,health and wellness,Men's Health and Wellness brand,gurgaon,series b,"4,86,000",486000.0,series_b
13/11/2019,Sunstone Eduversity Pvt. Ltd,education,Elearning,gurgaon,seed,"15,00,000",1500000.0,seed
18/11/2019,Healthians,health and wellness,Healthcare services,gurgaon,series b,"1,20,00,000",12000000.0,series_b
15/11/2019,Ninjacart,b2b marketing,Agritech,bangalore,debt funding,"2,60,00,000",26000000.0,debt
20/11/2019,Aye Finance,fintech,Financial Services To MSMEs,gurgaon,debt funding,"1,74,11,265",17411265.0,debt
12/11/2019,SuperGaming,video games,Social gaming platform,pune,seed funding,"13,00,000",1300000.0,seed
20/11/2019,Clumio,saas,Recovery software,"san jose,",series c,"13,50,00,000",135000000.0,series_c
11/11/2019,eBikeGo,last mile transportation,Electric bike rental,amritsar,seed,"3,00,000",300000.0,seed
19/11/2019,Digital Mall Asia,e-commerce,Virtual e-commerce platform,delhi,seed funding,"22,00,00,000",220000000.0,seed
18/11/2019,Medikabazaar,healthcare,B2B platform for medical supplies,mumbai,series b,"1,58,00,000",15800000.0,series_b
15/11/2019,Vogo Automotive,last mile transportation,Scooter sharing app,kormangala,series b,"28,30,00,000",283000000.0,series_b
19/11/2019,Furtados School of Music,education,Music Education,tulangan,unknown,"20,00,00,000",200000000.0,other
25/11/2019,Paytm,fintech,Mobile Wallet,noida,funding round,"1,00,00,00,000",1000000000.0,other
04/10/2019,Dunzo,customer service,Delivery Service,bangalore,series d,"4,50,00,000",45000000.0,other
02/10/2019,Udaan,b2b,Business development,bangalore,series d,"58,50,00,000",585000000.0,other
05/09/2019,FPL Technologies,fintech,Financial Services,pune,maiden round,"45,00,000",4500000.0,other
04/09/2019,Cashflo,fintech,Invoice discounting platform and SME lending marketplace,mumbai,series a,"33,00,000",3300000.0,series_a
04/09/2019,Digital F5,"advertising, marketing",Digital marketing firm,mumbai,private equity round,"60,00,000",6000000.0,private_equity
04/09/2019,3rdFlix,saas,Education Technology,hyderabad,pre-series a,"50,00,000",5000000.0,series_a
04/09/2019,75F,iot,Building automation system,burnsville,series a,"1,80,00,000",18000000.0,series_a
04/09/2019,Myelin Foundry,information technology,Deep-technology,bangalore,seed,"10,00,000",1000000.0,seed
04/09/2019,Atomberg Technology,consumer technology,"Consumer Electronics, Home Appliances",mumbai,series a,"1,00,00,000",10000000.0,series_a
04/09/2019,GOQii,health and wellness,Wearable Fitness Bands,menlo park,series c,"45,00,00,000",450000000.0,series_c
03/09/2019,Vyapar App,accounting,Mobile-based Accounting Software,bangalore,series a,"50,00,000",5000000.0,series_a
01/08/2019,CarDekho,e-commerce,Automotive,gurgaon,series c,"2,00,00,000",20000000.0,series_c
01/08/2019,Progcap,finance,Supply Chain Management,new delhi,series a,"50,00,000",5000000.0,series_a
01/08/2019,MyPetrolPump,retail,Fuel Delivery,bangalore,seed funding round,"16,00,000",1600000.0,seed
01/08/2019,Alteria Capital,finance,VC Funds,mumbai,single venture,"14,00,00,000",140000000.0,other
01/08/2019,Pine Labs,information technology,Last-mile retail transaction technology,noida,corporate round,"3,80,80,000",38080000.0,other
12/08/2019,Meesho,e-commerce,Social Commerce,bangalore,series d,"12,50,00,000",125000000.0,other
13/08/2019,Cars24,e-commerce,Car Retail,gurgaon,series d,"1,10,00,000",11000000.0,other
13/08/2019,Uniphore,customer service platform,Conversational AI,palo alto,series c,"5,10,00,000",51000000.0,series_c
23/08/2019,Zendrive,automotive,Road Safety Analytics,san francisco,series b,"3,70,00,000",37000000.0,series_b
23/08/2019,Lo! Foods,consumer goods,Low carb food for Diabetics,bangalore,seed round,"5,00,000",500000.0,seed
23/08/2019,Tala,fintech,Digital Lending Platform,santa monica,series d,"11,00,00,000",110000000.0,other
22/08/2019,INDwealth,fintech,Wealth Management,gurgaon,venture round,"1,50,00,000",15000000.0,other
21/08/2019,HungerBox,food and beverage,B2B Foodtech,bangalore,series c,"65,90,000",6590000.0,series_c
23/08/2019,AdmitKard,edtech,University Admissions,noida,seed round,"10,00,000",1000000.0,seed
19/08/2019,Grofers,e-commerce,Grocery Delivery,gurgaon,series f,"7,00,00,000",70000000.0,other
27/08/2019,Rapido Bike Taxi,transportation,Bike Taxi,bangalore,series b,"3,90,00,00,000",3900000000.0,series_b
02/07/2019,RenewBuy,finance,Auto Insurance,gurgaon,series b,"1,90,00,000",19000000.0,series_b
02/07/2019,Atlan,information technology,Big Data,singapore,pre-series a,"25,00,000",2500000.0,series_a
01/07/2019,WizCounsel,compliance,Consulting,new delhi,angel,"1,45,000",145000.0,other
03/07/2019,Ola Cabs,transport,Cabs,kormangala,series j,"10,00,000",1000000.0,other
01/07/2019,Uniphore,artificial intelligence,Speech Recognition,taramani,series c,"3,80,80,000",38080000.0,series_c
04/07/2019,Daalchini Technologies,food and beverage,Digital Vending Machine,new delhi,seed round,"5,00,000",500000.0,seed
10/07/2019,"""BYJU\\'S""",edtech,Education,bangalore,private equity round,"15,00,00,000",150000000.0,private_equity
11/07/2019,Moglix,e-commerce,Industrial Tools and Equipments,singapore,series d,"6,00,00,000",60000000.0,other
10/07/2019,Ezyhaul,tech,Logistics,singapore,series b,"1,60,00,000",16000000.0,series_b
10/07/2019,Indus OS,tech,Smartphone Operating System,andheri,series b,"57,50,000",5750000.0,series_b
10/07/2019,HealthAssure,health care,Primary care medical network,mumbai,series a,"25,00,000",2500000.0,series_a
09/07/2019,House of Msasaba,luxury label,Clothes and Apparel,mumbai,series a,"10,00,000",1000000.0,series_a
08/07/2019,Board Infinity,edtech,Full-stack career platform,chembur,angel round,"3,19,605",319605.0,other
05/06/2019,NoBroker,e-commerce,Real Estate,bangalore,series c,"5,10,00,000",51000000.0,series_c
04/06/2019,Bira91,food and beverage,Brewery,new delhi,debt funding,"1,00,00,000",10000000.0,debt
03/06/2019,FabHotels,e-commerce,Hospitality,gurgaon,unknown,"48,89,975.54",4889975.54,other
03/06/2019,Avail Finance,finance,FinTech,bangalore,series a,"90,00,000",9000000.0,series_a
04/06/2019,BharatPe,finance,FinTech,new delhi,series b,"7,50,00,000",75000000.0,series_b
04/06/2019,Recykal,waste management service,Optimization,hyderabad,pre-series a,"2,60,00,000",26000000.0,series_a
03/06/2019,Agara Labs,deep-tech,Artificial Intelligence,bangalore,pre-series a,"25,00,000",2500000.0,series_a
06/06/2019,Sistema.bio,agriculture,Hybrid Reactor Biodigestor,nairobi,unknown,"27,39,034.68",2739034.68,other
06/06/2019,Chakr Innovation,energy,Renewable Energy,new delhi,series a,"2,60,00,000",26000000.0,series_a
06/06/2019,Pratilipi,digital media,E-Books,bangalore,series b,"1,51,09,500.00",15109500.0,series_b
10/06/2019,Bolo App,digital media,Video Platform,bangalore,seed funding,"4,30,200",430200.0,seed
10/06/2019,OkCredit,fintech,Financial Services,haryana,series a,"1,55,00,000",15500000.0,series_a
06/06/2019,Biz2Credit,fintech,Online Lending Platform,new york,series b,"5,20,00,000",52000000.0,series_b
08/06/2019,Vogo Automotive Pvt. Ltd.,transportation,Dockless Scooter Rental Company,karnataka,debt funding,"35,84,000",3584000.0,debt
04/06/2019,Leegality,services,Digital Documentation,mumbai/bengaluru,series a,"34,00,000",3400000.0,series_a
06/05/2019,Saahas Zero Waste,waste management service,Optimization,bangalore,venture - series unknown,"8,68,600",868600.0,other
01/05/2019,BlackBuck,transport,Logistics,bangalore,series d,"15,00,00,000",150000000.0,other
02/05/2019,Zenoti,saas,Beauty and Wellness Industry,hyderabad,series c,"5,00,00,000",50000000.0,series_c
28/05/2019,Ather Energy,automobile,Electric Vehicle,bangalore,series c,"5,10,00,000",51000000.0,series_c
28/05/2019,FreshVnF,agtech,Fresh Agriculture Produces,mumbai,seed round,"14,00,00,000",140000000.0,seed
30/05/2019,GlowRoad,e-commerce,Retail,bangalore,series b,"1,15,00,000",11500000.0,series_b
31/05/2019,Bira91,food and beverage,Brewery,new delhi,series b,"56,00,000",5600000.0,series_b
16/04/2019,Kuvera,finance,Wealth Management,bangalore,series a,"4,50,00,000",45000000.0,series_a
12/04/2019,Medlife,e-commerce,Online Medicine,bangalore,private equity,"1,70,00,000",17000000.0,private_equity
10/04/2019,Kabadiwala,e-commerce,Waste Management,bhopal,private equity,"4,30,665",430665.0,private_equity
13/04/2019,Tripoto,social media,Travel,new delhi,series b,"35,91,375",3591375.0,series_b
12/04/2019,Azah,health and wellness,Organic wellness,gurgaon,seed funding,"2,00,000",200000.0,seed
11/04/2019,Setu,fintech,Banking,bangalore,seed funding,"35,00,000",3500000.0,seed
10/04/2019,Toppr,edtech,E-learning,mumbai,debt and preference capital,"63,20,820",6320820.0,debt
10/04/2019,Craftsvilla,e-commerce,Fashion and Apparel,mumbai,inhouse funding,"24,43,495",2443495.0,other
10/04/2019,Unacademy,edtech,E-learning,bangalore,seed/ angel funding,"3,07,000",307000.0,seed
11/04/2019,CleverTap,saas,Mobile analytics and marketing,mumbai,series b,"2,60,00,000",26000000.0,series_b
19/04/2019,My Healthcare,e-commerce,Software Solutions,bengaluru and gurugram,series a,"30,00,000",3000000.0,series_a
17/04/2019,Shuttl,transportation,Bus Aggregation,gurgaon,venture round,"50,00,000",5000000.0,other
17/04/2019,Increff,technology,Supply-chain technology solutions,bangalore,series a,"30,00,000",3000000.0,series_a
08/02/2019,Zilingo,ecommerce,Fashion & Apparel,india/singapore,series d,"22,60,00,000",226000000.0,other
13/02/2019,NanoClean Global,nanotechnology,Anti-Pollution,new delhi,series a,"6,00,000",600000.0,series_a
14/02/2018,OyoRooms,hospitality,Budget Rooms,gurgaon,equity,"10,00,00,000",100000000.0,other
03/01/2019,CarDekho,automobile,Online Marketplace,jaipur,series c,"11,00,00,000",110000000.0,series_c
04/01/2019,Vyome Therapeutics Inc.,health and wellness,Specialty pharmaceutical,india/us,series d,"2,20,00,000",22000000.0,other
04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,finance,Non-banking financial company,chennai,debt-funding,"50,00,000",5000000.0,debt
04/12/2018,Manch,social media,Hyperlocal Content,delhi,seed funding,"7,00,000",700000.0,seed
01/12/2018,UrbanClap Technologies Pvt. Ltd,services platform,Home services marketplace,new delhi,series d,"5,00,00,000",50000000.0,other
02/12/2018,Guiddoo,travel tech,Platform for travel agents,mumbai,pre-series a,"8,00,000",800000.0,series_a
02/12/2018,Career Anna,online education,"Video-based certification, trainings",gurgaon,pre-series a,"5,72,000",572000.0,series_a
04/12/2018,Nagpur Wholesale,online marketplace,eCommerce,nagpur,seed funding,"1,43,000",143000.0,seed
06/12/2018,ShopKirana,b2b,eCommerce,indore,seed funding,"20,00,000",2000000.0,seed
06/12/2018,BuildSupply,"saas, ecommerce","Real Estate, ERP",gurgaon,series a,"35,00,000",3500000.0,series_a
01/11/2018,GoDesi,food and beverage,Regional Flavours,bangalore,seed/ angel funding,"1,38,995",138995.0,seed
03/11/2018,Veritas Finance Ltd.,nbfc,MSME Finance,chennai,series d,"2,77,99,000",27799000.0,other
06/11/2018,Meesho,ecommerce,Social Commerce,bangalore,series c,"5,00,00,000",50000000.0,series_c
08/11/2018,Mobile Premier League,gaming,Mobile e-Sports,bangalore,series a,"5,00,000",500000.0,series_a
08/11/2018,A&R Bon Vivants,food,Meat Retail Chain,jaipur,equity,"10,00,000",1000000.0,other
12/11/2018,Blackbuck,food tech,POS For Online Ordering,"new york, bengaluru",series a,"10,00,000",1000000.0,series_a
12/11/2018,MilkBAsket,food,Micro-delivery grocery service,new delhi,series b,"13,00,000",1300000.0,series_b
13/11/2018,DriveU,transport,On-Demand Drivers,bangalore,mezzanine,"10,00,000",1000000.0,other
14/11/2018,CleanseCar,services,Car Wash,bangalore,seed/ angel funding,"5,00,000",500000.0,seed
19/11/2018,Automation Anywhere,automation,Robotics,california,series b,"30,00,00,000",300000000.0,series_b
20/11/2018,HealthifyMe,health and wellness,Wellness Coach,bangalore,series b (extension),"60,00,000",6000000.0,series_b
21/11/2018,Genius Corner,education,Personalized Learning,noida,seed funding,"2,78,000",278000.0,seed
22/11/2018,Aavishkaar-Intellecap Group,investment,SME Funding,mumbai,equity based funding,"3,10,00,000",31000000.0,other
23/11/2018,Signzy,financial tech,Digital Onboarding Solution,mumbai/bengaluru,series a,"34,00,000",3400000.0,series_a
24/11/2018,Engineer.ai,software,AI Platform,india/us,series a,"2,95,00,000",29500000.0,series_a
25/11/2018,InCred Finance,finance,SME Lending,india,private equity,"4,20,00,000",42000000.0,private_equity
25/11/2018,Roposo,social media,Video Sharing,delhi,series b,"17,00,000",1700000.0,series_b
02/10/2018,Origo Commodities India Pvt. Ltd,logistics,Supply Chain,hyderabad,seed/ angel funding,"1,10,00,000",11000000.0,seed
04/10/2018,Grover Zampa,food,Wine,mumbai,private equity,"82,00,000",8200000.0,private_equity
05/10/2018,Droom,automobile,New and Used Cars Platform,gurgaon,series e,"30,00,000",3000000.0,other
11/10/2018,Innov8,real estate,Co-Working,new delhi,pre-series a,"40,00,000",4000000.0,series_a
12/10/2018,Blackbuck,logistics tech,Largest Trucking Platform,bangalore,private funding,"1,46,80,000",14680000.0,other
12/10/2018,LetsTransport,logistics tech,Book Trucks Online,bangalore,series c,"1,20,00,000",12000000.0,series_c
01/09/2018,Netmeds,consumer internet,Online Pharmacy Chain,chennai,private equity,"3,50,00,000",35000000.0,private_equity
03/09/2018,Udaan,b2b platform,Logistics and Shipping,bangalore,private equity,"22,50,00,000",225000000.0,private_equity
03/09/2018,Daily hunt,consumer internet,News and ebooks Mobile App\\xc2\\xa0,bangalore,private equity,"63,90,000",6390000.0,private_equity
04/09/2018,3HCare,healthcare,Healthcare Service Provider,delhi,seed / angel funding,"10,00,000",1000000.0,seed
05/09/2018,Nykaa,consumer internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,mumbai,private equity,"15,72,00,000",157200000.0,private_equity
06/09/2018,Dream11,consumer internet,Online Gaming Platform,mumbai,private equity,"10,00,00,000",100000000.0,private_equity
10/09/2018,MamaEarth,healthcare,Online Marketplace For Mother and Babycare Products,gurgaon,private equity,"40,00,000",4000000.0,private_equity
11/09/2018,AutoGrid,technology,AI-Based Energy Optimisation and Control Provider,bangalore,private equity,"3,20,00,000",32000000.0,private_equity
11/09/2018,Pharmeasy,consumer internet,Online Marketplace For Pharmaceutical Products,mumbai,debt funding,"55,00,000",5500000.0,debt
11/09/2018,Upwards,fin-tech,Online Micro Lending Marketplace,mumbai,private equity,"50,00,000",5000000.0,private_equity
12/09/2018,Kissht,fin-tech,Online lending Platform,mumbai,private equity,"3,00,00,000",30000000.0,private_equity
01/08/2018,dishq,food-tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,bangalore,seed/ angel funding,"4,00,000",400000.0,seed
02/08/2018,Samosa Labs,consumer internet,Social Media and Chat Entertainment Platform,hyderabad,private equity,"70,00,000",7000000.0,private_equity
03/08/2018,ZiffyHomes,consumer internet,Online Home Rental Marketplace,gurgaon,private equity,"1,20,000",120000.0,private_equity
07/08/2018,My OmNamo,consumer internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,mumbai,seed/ angel funding,"10,00,000",1000000.0,seed
07/08/2018,ShopX,consumer internet,Assisted E-commerce Platform,bangalore,private equity,"3,50,00,000",35000000.0,private_equity
07/08/2018,MakeMyTrip,consumer internet,Online Travel Aggregator,gurgaon,private equity,"1,00,00,000",10000000.0,private_equity
08/08/2018,Hansel io,consumer internet,Real-time Mobile App Management,bangalore,seed/ angel funding,"40,00,000",4000000.0,seed
08/08/2018,Metro Bikes,consumer internet,Online Bike Rental Marketplace,bangalore,private equity,"1,22,00,000",12200000.0,private_equity
08/08/2018,Phone Pe,consumer internet,UPI Payments App,bangalore,private equity,"6,60,00,000",66000000.0,private_equity
09/08/2018,quizizz,ed-tech,e-learning Platform,bangalore,seed/ angel funding,"30,00,000",3000000.0,seed
09/08/2018,Happy EMI,fin-tech,Consumer Financing Platform,bangalore,seed/ angel funding,"10,00,000",1000000.0,seed
13/08/2018,Inthree,consumer internet,Rural E-commerce Platform,chennai,seed/ angel funding,"40,00,000",4000000.0,seed
13/08/2018,Observe AI,technology,AI Based Solutions Platform,bangalore,private equity,"80,00,000",8000000.0,private_equity
16/08/2018,Enakshi,consumer internet,AI Based Solutions Platform,ahemadabad,seed/ angel funding,"1,14,811",114811.0,seed
17/08/2018,EazyDiner,consumer internet,Online Restaurant Table Reservation Platform,gurgaon,private equity,"58,50,000",5850000.0,private_equity
20/08/2018,Finzy,finance,Online Loan Matchmaking Platform,bangalore,seed / angel funding,"10,00,000",1000000.0,seed
20/08/2018,RawPressery,consumer internet,Online Organic Juice Delivery Service,mumbai,debt funding,"48,00,000",4800000.0,debt
22/08/2018,Pi Ventures,technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,bangalore,private equity,"60,00,000",6000000.0,private_equity
22/08/2018,Revv,consumer internet,Online Indian Car Rental Platform,gurgaon,private equity,"1,42,70,000",14270000.0,private_equity
26/08/2018,ZestMoney,consumer internet,Online Lending Platform,bangalore,private equity,"1,34,00,000",13400000.0,private_equity
26/08/2018,Shubh Loans,fin-tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,bangalore,private equity,"42,00,000",4200000.0,private_equity
27/08/2018,MyUpchar,healthcare,Local Language Health Content App,delhi,private equity,"50,00,000",5000000.0,private_equity
28/08/2018,Narvar,it,Post-Purchase Customer Engagement Platform\\xc2\\xa0,bangalore,private equity,"30,00,000",3000000.0,private_equity
30/08/2018,True North,finance,Private Equity Firm,mumbai,private equity,"60,00,00,000",600000000.0,private_equity
02/07/2018,Biryani By Kilo,consumer internet,Online Food Delivery,gurgaon,seed/ angel funding,"10,00,000",1000000.0,seed
04/07/2018,Anchanto,it,E-commerce Fulfilment Platform,pune,private equity,"40,00,000",4000000.0,private_equity
05/072018,Loan Tap,consumer internet,Online Lending Platform For Salaried Professionals,mumbai,private equity,"62,50,000",6250000.0,private_equity
06/07/2018,PolicyBazaar,consumer internet,Online Insurance Selling Platform,gurgaon,private equity,"2,77,00,000",27700000.0,private_equity
09/07/2018,zippserv,consumer internet,Online Platform For Risk-Assessment Services For Real Estate Investments,bangalore,seed/ angel funding,"4,40,000",440000.0,seed
09/07/2018,Groww,consumer internet,Online Platform That Sells Direct Plans Of Mutual Funds,bangalore,seed/ angel funding,"11,00,000",1100000.0,seed
10/07/2018,Avenue Growth,consumer internet,Online Platform That Connects Brands With Freelance Sales Professionals,gurgaon,seed/ angel funding,"4,37,000",437000.0,seed
10/07/2018,Kinara Capital,finance,Lending Platform For Micro and Small Enterprises,bangalore,private equity,"50,00,000",5000000.0,private_equity
10/07/2018,Shop 101,consumer internet,Mobile Storefront And Commerce Platform For Sellers,mumbai,private equity,"50,00,000",5000000.0,private_equity
11/07/2018,Sambandh,consumer internet,Online Micro Lending Platform,rourkela,private equity,"25,00,000",2500000.0,private_equity
12/07/2018,19th mile,it,Artificial intelligence-based sales acceleration software platform,gurgaon,seed/ angel funding,"1,80,000",180000.0,seed
12/07/2018,5th Vital,healthcare,Home diagnostics services provider,bangalore,seed/ angel funding,"5,00,000",500000.0,seed
13/07/2018,MEngage,healthcare,A Doctor-Patient Engagement Platform,jaipur,seed/ angel funding,"1,75,000",175000.0,seed
17/07/2018,Ofbusiness,finance,Online Lending Platform For SME,gurgaon,private equity,"2,90,00,000",29000000.0,private_equity
17/07/2018,Cars24,consumer internet,Online Used Car Marketplace,gurgaon,private equity,"4,97,00,000",49700000.0,private_equity
18/07/2018,The Ken,consumer internet,Subscription-Only News Website,bangalore,seed/ angel funding,"15,00,000",1500000.0,seed
19/07/2018,Book My Show,consumer internet,Online Ticketing Platform,mumbai,private equity,"10,00,00,000",100000000.0,private_equity
20/07/2018,HousingMan,consumer internet,Property Discovery Platform,bangalore,seed/ angel funding,"15,00,000",1500000.0,seed
21/07/2018,PaySense,consumer internet,Online Consumer Lending Platform,mumbai,private equity,"1,80,00,000",18000000.0,private_equity
23/07/2018,VTION,technology,Media Analytics,gurgaon,seed/ angel funding,"2,80,000",280000.0,seed
23/07/2018,Log9 Materials,technology,Nanotechnology Company Specializing In Graphene,bangalore,seed/ angel funding,"4,36,000",436000.0,seed
24/07/2018,kidovators,ed-tech,Skill Learning Platform,bangalore,seed/ angel funding,"1,80,000",180000.0,seed
24/07/2018,Digit,consumer internet,Online Insurance Startup,pune,private equity,"4,50,00,000",45000000.0,private_equity
25/07/2018,Black Soil,finance,Non-Banking Financial Company,mumbai,private equity,"1,70,00,000",17000000.0,private_equity
25/07/2018,Trell,consumer internet,Mobile-First Video Blogging App,bangalore,seed/ angel funding,"12,50,000",1250000.0,seed
25/07/2018,iqlect,technology,Data Analytics Firm,bangalore,seed/ angel funding,"25,00,000",2500000.0,seed
26/07/2018,Entropik,it,Software-As-A-Service Platform,bangalore,seed/ angel funding,"11,00,000",1100000.0,seed
26/07/2018,TheCapitalNet,fin-tech,Unified Global Investments Ecosystem,hyderabad,private equity,"5,00,000",500000.0,private_equity
30/07/2018,Shuttl,consumer internet,Bus Aggregation Platform,gurgaon,private equity,"1,10,00,000",11000000.0,private_equity
30/07/2018,Cure Fit,consumer internet,Health and fitness Platform,bangalore,private equity,"12,00,00,000",120000000.0,private_equity
31/07/2018,Five Star Group,fin-tech,Non-Bank Lending Platform For SME,chennai,private equity,"10,00,00,000",100000000.0,private_equity
31/07/2018,Healthsignz,healthcare,Health and Well being Platform,hyderabad,seed/ angel funding,"50,00,000",5000000.0,seed
01/06/2018,CoinTribe,finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,gurgaon,private equity,"1,00,00,000",10000000.0,private_equity
04/06/2018,Digiconectt,technology,Sales Analytics and Enablement Platform,bangalore,seed/ angel funding,"1,25,000",125000.0,seed
07/06/2018,Annapurna Finance,finance,Non-Banking Financial Company,bhubneswar,private equity,"2,30,00,000",23000000.0,private_equity
07/06/2018,Meesho,consumer internet,Online Marketplace For Resellers,bangalore,private equity,"1,15,00,000",11500000.0,private_equity
10/06/2018,AyeFinance,finance,Online Lending Platform,gurgaon,private equity,"2,15,00,000",21500000.0,private_equity
12/06/2018,Alpha Capital,finance,Supplychain Finance,mumbai,private equity,"1,48,00,000",14800000.0,private_equity
12/06/2018,eshakti,e-commerce,Fashion e-tailer,chennai,private equity,"1,01,00,000",10100000.0,private_equity
12/06/2018,Daily Ninja,consumer internet,Hyperlocal Delivery Platform,bangalore,seed/ angel funding,"30,00,000",3000000.0,seed
13/06/2018,NirogStreet,healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,gurgaon,seed/ angel funding,"3,000,00",300000.0,seed
13/06/2018,Nivesh,finance,Mass Market Mutual Fund Investment Platform,noida,seed/ angel funding,"4,50,000",450000.0,seed
14/06/2018,HomeLane,consumer internet,Online Home Furnishing Solutions,bangalore,seed/ angel funding,"34,50,000",3450000.0,seed
14/06/2018,Network Intelligence,technology,Cybersecurity Specialist,mumbai,private equity,"48,00,000",4800000.0,private_equity
18/06/2018,Tynor Othontics,healthcare,Prosthetics Manufacturers,chandigarh,private equity,"2,10,00,000",21000000.0,private_equity
18/06/2018,Elucidata,it,Data Analytics (SaaS),delhi and cambridge,seed/ angel funding,"17,00,000",1700000.0,seed
19/06/2018,RentSher,consumer internet,Online Rental Marketplace,bangalore,seed/ angel funding,"11,00,000",1100000.0,seed
20/06/2018,Drip capital,finance,Trade Finance Firm,mumbai,private equity,"1,50,00,000",15000000.0,private_equity
22/06/2018,WickedRide,consumer internet,Online Motorbike And Scooter Rental Platforms,bangalore,private equity,"91,00,000",9100000.0,private_equity
25/06/2018,PolicyBazaar,consumer internet,Online Insurance Selling Platform,gurgaon,private equity,"20,00,00,000",200000000.0,private_equity
25/06/2018,HipBar,consumer internet,Digital Payment Platform For Beverage Delivery,bangalore,private equity,"40,00,000",4000000.0,private_equity
25/06/2018,Sqqrl,finance,App-based investment platform,gurgaon,seed/ angel funding,"10,00,000",1000000.0,seed
26/06/2018,Paytm,technology,Digital Payment Platform,noida,private equity,"89,50,000",8950000.0,private_equity
26/06/2018,Sigtuple,healthcare,Data Driven Intelligence Solutions Platform,bangalore,private equity,"1,90,00,000",19000000.0,private_equity
27/06/2018,Wow Express,technology,E-commerce Logistics Platform,mumbai,private equity,"45,00,000",4500000.0,private_equity
28/06/2018,Front Desk AI,technology,An AI Platform Offering Automated Customer Service Software,bangalore,seed/ angel funding,"11,00,000",1100000.0,seed
28/06/2018,Edureka,ed-tech,Online Education Platform,bangalore,seed/ angel funding,"20,00,000",2000000.0,seed
02/05/2018,OpenTap,finance,Online Lending Platform,chennai,seed / angel funding,"4,50,000",450000.0,seed
02/05/2018,Bizongo,consumer internet,Aggregator For Packaging Material,mumbai,private equity,"2,20,00,000",22000000.0,private_equity
03/05/2018,Disprz,it,SaaS,chennai,seed / angel funding,"25,00,000",2500000.0,seed
07/05/2018,PaisaDukan,consumer internet,P2P Lending Platform,mumbai,seed / angel funding,"2,25,000",225000.0,seed
09/05/2018,i3sysytems,technology,AI product company For Health and Life Insurane Companies,mumbai,seed / angel funding,"10,00,000",1000000.0,seed
11/05/2018,Earth Food,consumer internet,Agri-tech,pune,seed / angel funding,"9,49,000",949000.0,seed
14/05/2018,Nykaa,consumer internet,Beauty e-tailer,mumbai,private equity,"2,40,00,000",24000000.0,private_equity
16/05/2018,mfine,healthcare,Doctor-Consultation App,bangalore,private equity,4200000,4200000.0,private_equity
21/05/2018,Rocketium,technology,Online Video Creation Platform,bangalore,seed/ angel funding,"3,00,000",300000.0,seed
21/05/2018,MilkBasket,technology,Micro-Delivery Grocery Startup,gurgaon,private equity,"70,00,000",7000000.0,private_equity
22/05/2018,Vola,finance,Micro Lending Platform,bangalore,seed/ angel funding,"5,00,000",500000.0,seed
